Reference Number,Topic Match Score,Title,Year,Date,Authors,Abstract,Journal,Citation Count,Citation Velocity,DOI,Link,External IDs,Is Open Access,Open Access Link,Semantic Scholar ID,Relevance Summary
"43","0.2","Peer-Aware Cost Estimation in Nonlinear General-Sum Dynamic Games for Mutual Learning and Intent Inference","2025","2025-04-23","Seyed Yousef Soltanian, Wenlong Zhang","Human-robot interactions can be modeled as incomplete-information general-sum dynamic games since the objective functions of both agents are not explicitly known to each other. However, solving for equilibrium policies for such games presents a major challenge, especially if the games involve nonlinear underlying dynamics. To simplify the problem, existing work often assumes that one agent is an expert with complete information about its peer, which can lead to biased estimates and failures in coordination. To address this challenge, we propose a nonlinear peer-aware cost estimation (N-PACE) algorithm for general-sum dynamic games. In N-PACE, using iterative linear quadratic (LQ) approximation of the nonlinear general-sum game, each agent explicitly models the learning dynamics of its peer agent while inferring their objective functions, leading to unbiased fast learning in inferring the unknown objective function of the peer agent, which is critical for task completion and safety assurance. Additionally, we demonstrate how N-PACE enables \textbf{intent communication} in such multi-agent systems by explicitly modeling the peer's learning dynamics.","ArXiv","0","0","10.48550/arXiv.2504.17129","https://doi.org/10.48550/arXiv.2504.17129","","true","{'url': 'https://arxiv.org/pdf/2504.17129.pdf', 'status': 'GOLD'}","51b21cb9787d1bccc3c8da105ca14143474f0002",""
"44","0.2","Cooperative Exploration for Multi-Agent Deep Reinforcement Learning","2021","2021-07-23","Iou-Jen Liu, Unnat Jain, Raymond A. Yeh, A. Schwing","Exploration is critical for good results in deep reinforcement learning and has attracted much attention. However, existing multi-agent deep reinforcement learning algorithms still use mostly noise-based techniques. Very recently, exploration methods that consider cooperation among multiple agents have been developed. However, existing methods suffer from a common challenge: agents struggle to identify states that are worth exploring, and hardly coordinate exploration efforts toward those states. To address this shortcoming, in this paper, we propose cooperative multi-agent exploration (CMAE): agents share a common goal while exploring. The goal is selected from multiple projected state spaces via a normalized entropy-based technique. Then, agents are trained to reach this goal in a coordinated manner. We demonstrate that CMAE consistently outperforms baselines on various tasks, including a sparse-reward version of the multiple-particle environment (MPE) and the Starcraft multi-agent challenge (SMAC).","ArXiv","104","22.6","","https://arxiv.org/abs/2107.11444","","true","{'url': 'https://arxiv.org/pdf/2107.11444.pdf', 'status': 'GOLD'}","feb7f993c402e2663d20bbafa83c11e6db3dfe6b",""
"45","0.2","Metaheuristics-based Exploration Strategies for Multi-Objective Reinforcement Learning","2022","","Florian Felten, Grégoire Danoy, El-Ghazali Talbi, P. Bouvry","The fields of Reinforcement Learning (RL) and Optimization aim at finding an optimal solution to a problem, characterized by an objective function. The exploration-exploitation dilemma (EED) is a well known subject in those fields. Indeed, a consequent amount of literature has already been proposed on the subject and shown it is a non-negligible topic to consider to achieve good performances. Yet, many problems in real life involve the optimization of multiple objectives. Multi-Policy Multi-Objective Reinforcement Learning (MPMORL) offers a way to learn various optimised behaviours for the agent in such problems. This work introduces a modular framework for the learning phase of such algorithms, allowing to ease the study of the EED in InnerLoop MPMORL algorithms. We present three new exploration strategies inspired from the metaheuristics domain. To assess the performance of our methods on various environments, we use a classical benchmark the Deep Sea Treasure (DST) as well as propose a harder version of it. Our experiments show all of the proposed strategies outperform the current state-of-the-art ε-greedy based methods on the studied benchmarks.","","2","0.5","10.5220/0010989100003116","https://doi.org/10.5220/0010989100003116","","true","{'url': 'https://doi.org/10.5220/0010989100003116', 'status': 'GOLD'}","da050904eeb78b0adb5bc649678d599c4da91dd3",""
"46","0.2","Scalable Centralized Deep Multi-Agent Reinforcement Learning via Policy Gradients","2018","2018-05-22","Arbaaz Khan, Clark Zhang, Daniel D. Lee, Vijay R. Kumar, Alejandro Ribeiro","In this paper, we explore using deep reinforcement learning for problems with multiple agents. Most existing methods for deep multi-agent reinforcement learning consider only a small number of agents. When the number of agents increases, the dimensionality of the input and control spaces increase as well, and these methods do not scale well. To address this, we propose casting the multi-agent reinforcement learning problem as a distributed optimization problem. Our algorithm assumes that for multi-agent settings, policies of individual agents in a given population live close to each other in parameter space and can be approximated by a single policy. With this simple assumption, we show our algorithm to be extremely effective for reinforcement learning in multi-agent settings. We demonstrate its effectiveness against existing comparable approaches on co-operative and competitive tasks.","ArXiv","30","3.9","","https://arxiv.org/abs/1805.08776","","true","{'url': 'https://arxiv.org/pdf/1805.08776.pdf', 'status': 'GOLD'}","739c8bd5941f9a440aeb54b9396f714233c9d33e",""
"47","0.2","Independent Learning in Stochastic Games","2021","2021-11-23","A. Ozdaglar, M. O. Sayin, K. Zhang","Reinforcement learning (RL) has recently achieved tremendous successes in many artificial intelligence applications. Many of the forefront applications of RL involve multiple agents, e.g., playing chess and Go games, autonomous driving, and robotics. Unfortunately, the framework upon which classical RL builds is inappropriate for multi-agent learning, as it assumes an agent's environment is stationary and does not take into account the adaptivity of other agents. In this review paper, we present the model of stochastic games for multi-agent learning in dynamic environments. We focus on the development of simple and independent learning dynamics for stochastic games: each agent is myopic and chooses best-response type actions to other agents' strategy without any coordination with her opponent. There has been limited progress on developing convergent best-response type independent learning dynamics for stochastic games. We present our recently proposed simple and independent learning dynamics that guarantee convergence in zero-sum stochastic games, together with a review of other contemporaneous algorithms for dynamic multi-agent learning in this setting. Along the way, we also reexamine some classical results from both the game theory and RL literature, to situate both the conceptual contributions of our independent learning dynamics, and the mathematical novelties of our analysis. We hope this review paper serves as an impetus for the resurgence of studying independent and natural learning dynamics in game theory, for the more challenging settings with a dynamic environment.","ArXiv","24","5.6","","https://arxiv.org/abs/2111.11743","","true","{'url': 'https://arxiv.org/pdf/2111.11743.pdf', 'status': 'GOLD'}","7c763e7669a2091092264fa97d75fd1c56911608",""
"48","0.2","Survey of recent multi-agent reinforcement learning algorithms utilizing centralized training","2021","2021-04-12","P. Sharma, Rolando Fernandez, Erin G. Zaroukian, M. Dorothy, Anjon Basak, Derrik E. Asher","Much work has been dedicated to the exploration of Multi-Agent Reinforcement Learning (MARL) paradigms implementing a centralized learning with decentralized execution approach to improve human-like collaboration in cooperative tasks. Here, we introduce variations of centralized training to describe cases where shared/independent reward structure is utilized to improve learning by training agents in an intelligent way, and to analyze cooperative behavior in multi-agent systems. This work discusses implications for providing a classification of the recent MARL algorithmic approaches on the basis of their information sharing mechanism (e.g., reward, gradient, action, parameter, observation/state space sharing) on cooperative behavior in multi-agent systems.","","41","8.4","10.1117/12.2585808","https://doi.org/10.1117/12.2585808","","true","{'url': 'http://arxiv.org/pdf/2107.14316', 'status': 'GOLD'}","01c88583dec74859f88f838bd1640e844e7f3461",""
"49","0.2","Learning in Multi-Memory Games Triggers Complex Dynamics Diverging from Nash Equilibrium","2023","2023-02-02","Yuma Fujimoto, Kaito Ariu, Kenshi Abe","Repeated games consider a situation where multiple agents are motivated by their independent rewards throughout learning. In general, the dynamics of their learning become complex. Especially when their rewards compete with each other like zero-sum games, the dynamics often do not converge to their optimum, i.e., the Nash equilibrium. To tackle such complexity, many studies have understood various learning algorithms as dynamical systems and discovered qualitative insights among the algorithms. However, such studies have yet to handle multi-memory games (where agents can memorize actions they played in the past and choose their actions based on their memories), even though memorization plays a pivotal role in artificial intelligence and interpersonal relationship. This study extends two major learning algorithms in games, i.e., replicator dynamics and gradient ascent, into multi-memory games. Then, we prove their dynamics are identical. Furthermore, theoretically and experimentally, we clarify that the learning dynamics diverge from the Nash equilibrium in multi-memory zero-sum games and reach heteroclinic cycles (sojourn longer around the boundary of the strategy space), providing a fundamental advance in learning in games.","","4","1.3","10.48550/arXiv.2302.01073","https://doi.org/10.48550/arXiv.2302.01073","","true","{'url': 'http://arxiv.org/pdf/2302.01073', 'status': 'GOLD'}","561bfbb11123f4d1596d8f0fe1196eb6a607c195",""
"50","0.2","A New Multi-Agent Reinforcement Learning Method Based on Evolving Dynamic Correlation Matrix","2019","","X. Gan, Hongliang Guo, Zhan Li","Multi-agent reinforcement learning approaches can be roughly classified into two categories. One is the agent-based approach which can be implemented in real distributed systems, though most approaches of this type cannot provide meaningful theoretical verifications. The other can be seen as the more formalized approach, which can provide theoretical results. However, most of current algorithms usually require unrealistic global communication, which makes them impractical for real distributed systems. In this article, we propose a dynamic correlation matrix based multi-agent reinforcement learning approach where the meta-parameters are evolved using an evolutionary algorithm. We believe that our approach is able to fill the gap between the two kinds of traditional multi-agent reinforcement learning approaches by providing both agent-level implementation and system-level convergence verification. The basic idea of this approach is that agents learn not only from local environmental feedback, i.e., their own experiences and rewards, but also from other agents’ experiences. In this way, the agents’ learning speed can be increased significantly. The performance of the proposed algorithm is demonstrated on a number of application scenarios, including blackjack games, urban traffic control systems and multi-robot foraging.","IEEE Access","10","1.4","10.1109/ACCESS.2019.2946848","https://doi.org/10.1109/ACCESS.2019.2946848","","true","{'url': 'https://ieeexplore.ieee.org/ielx7/6287639/8600701/08864051.pdf', 'status': 'GOLD'}","ddd21eda9122747a6a6e7f3c161ec361270a5434",""
"51","0.1","Representation-Driven Reinforcement Learning","2023","2023-05-31","Ofir Nabati, Guy Tennenholtz, Shie Mannor","We present a representation-driven framework for reinforcement learning. By representing policies as estimates of their expected values, we leverage techniques from contextual bandits to guide exploration and exploitation. Particularly, embedding a policy network into a linear feature space allows us to reframe the exploration-exploitation problem as a representation-exploitation problem, where good policy representations enable optimal exploration. We demonstrate the effectiveness of this framework through its application to evolutionary and policy gradient-based approaches, leading to significantly improved performance compared to traditional methods. Our framework provides a new perspective on reinforcement learning, highlighting the importance of policy representation in determining optimal exploration-exploitation strategies.","","1","0.4","10.48550/arXiv.2305.19922","https://doi.org/10.48550/arXiv.2305.19922","","true","{'url': 'http://arxiv.org/pdf/2305.19922', 'status': 'GOLD'}","c5a22d46ce6c7a3f29fb4513442cafc24736eebd",""
"52","0.1","The Evolution theory of Learning: From Natural Selection to Reinforcement Learning","2023","2023-06-16","Taboubi Ahmed","Evolution is a fundamental process that shapes the biological world we inhabit, and reinforcement learning is a powerful tool used in artificial intelligence to develop intelligent agents that learn from their environment. In recent years, researchers have explored the connections between these two seemingly distinct fields, and have found compelling evidence that they are more closely related than previously thought. This paper examines these connections and their implications, highlighting the potential for reinforcement learning principles to enhance our understanding of evolution and the role of feedback in evolutionary systems.","ArXiv","0","0","10.48550/arXiv.2306.09961","https://doi.org/10.48550/arXiv.2306.09961","","true","{'url': 'http://arxiv.org/pdf/2306.09961', 'status': 'GOLD'}","8bad6929ebe94c401e5abc9bbcf1b33ddf428bf5",""
"53","0.1","PACE: A Framework for Learning and Control in Linear Incomplete-Information Differential Games","2025","2025-04-23","Seyed Yousef Soltanian, Wenlong Zhang","In this paper, we address the problem of a two-player linear quadratic differential game with incomplete information, a scenario commonly encountered in multi-agent control, human-robot interaction (HRI), and approximation methods for solving general-sum differential games. While solutions to such linear differential games are typically obtained through coupled Riccati equations, the complexity increases when agents have incomplete information, particularly when neither is aware of the other's cost function. To tackle this challenge, we propose a model-based Peer-Aware Cost Estimation (PACE) framework for learning the cost parameters of the other agent. In PACE, each agent treats its peer as a learning agent rather than a stationary optimal agent, models their learning dynamics, and leverages this dynamic to infer the cost function parameters of the other agent. This approach enables agents to infer each other's objective function in real time based solely on their previous state observations and dynamically adapt their control policies. Furthermore, we provide a theoretical guarantee for the convergence of parameter estimation and the stability of system states in PACE. Additionally, in our numerical studies, we demonstrate how modeling the learning dynamics of the other agent benefits PACE, compared to approaches that approximate the other agent as having complete information, particularly in terms of stability and convergence speed.","ArXiv","0","0","10.48550/arXiv.2504.17128","https://doi.org/10.48550/arXiv.2504.17128","","true","{'url': 'https://arxiv.org/pdf/2504.17128.pdf', 'status': 'GOLD'}","9228315acadc78456f5e3708825526d5ff4cf51b",""
"54","0.1","Deterministic limit of temporal difference reinforcement learning for stochastic games","2018","2018-09-19","W. Barfuss, J. Donges, J. Kurths","Reinforcement learning in multiagent systems has been studied in the fields of economic game theory, artificial intelligence, and statistical physics by developing an analytical understanding of the learning dynamics (often in relation to the replicator dynamics of evolutionary game theory). However, the majority of these analytical studies focuses on repeated normal form games, which only have a single environmental state. Environmental dynamics, i.e., changes in the state of an environment affecting the agents' payoffs has received less attention, lacking a universal method to obtain deterministic equations from established multistate reinforcement learning algorithms. In this work we present a methodological extension, separating the interaction from the adaptation timescale, to derive the deterministic limit of a general class of reinforcement learning algorithms, called temporal difference learning. This form of learning is equipped to function in more realistic multistate environments by using the estimated value of future environmental states to adapt the agent's behavior. We demonstrate the potential of our method with the three well-established learning algorithms Q learning, SARSA learning, and actor-critic learning. Illustrations of their dynamics on two multiagent, multistate environments reveal a wide range of different dynamical regimes, such as convergence to fixed points, limit cycles, and even deterministic chaos.","Physical review. E","44","5.9","10.1103/PhysRevE.99.043305","https://doi.org/10.1103/PhysRevE.99.043305","","true","{'url': 'https://arxiv.org/pdf/1809.07225', 'status': 'GOLD'}","18806ec6e94fce2429d9f72fb83e8f8ca43f73d1",""
"55","0.1","Synchronization in Learning in Periodic Zero-Sum Games Triggers Divergence from Nash Equilibrium","2024","2024-08-20","Yuma Fujimoto, Kaito Ariu, Kenshi Abe","Learning in zero-sum games studies a situation where multiple agents competitively learn their strategy. In such multi-agent learning, we often see that the strategies cycle around their optimum, i.e., Nash equilibrium. When a game periodically varies (called a ``periodic'' game), however, the Nash equilibrium moves generically. How learning dynamics behave in such periodic games is of interest but still unclear. Interestingly, we discover that the behavior is highly dependent on the relationship between the two speeds at which the game changes and at which players learn. We observe that when these two speeds synchronize, the learning dynamics diverge, and their time-average does not converge. Otherwise, the learning dynamics draw complicated cycles, but their time-average converges. Under some assumptions introduced for the dynamical systems analysis, we prove that this behavior occurs. Furthermore, our experiments observe this behavior even if these assumptions are removed. This study discovers a novel phenomenon, i.e., synchronization, and gains insight widely applicable to learning in periodic games.","","1","0.7","10.1609/aaai.v39i22.34485","https://doi.org/10.1609/aaai.v39i22.34485","","true","{'url': 'https://arxiv.org/pdf/2408.10595.pdf', 'status': 'GOLD'}","224727814f03e1e4bbc47baf2a5ff7a61cf75197",""
"56","0.1","Reinforcement Learning Algorithms: Survey and Classification","2017","2017-01-11","N. Ravishankar, M. Vijayakumar","Reinforcement Learning (RL) has emerged as a strong approach in the field of Artificial intelligence, specifically, in the field of machine learning, robotic navigation, etc. In this paper we try to do a brief survey on the various RL algorithms, and try to give a perspective on how the trajectory is moving in the research landscape. We are also attempting to classify RL as a 3-D (dimensional) problem, and give a perspective on how the journey of various algorithms in each of these dimensions progressing. We provide a quick recap of basic classifications in RL, and some popular, but old, algorithms. This research paper then discusses some of the recent trends; and also summarizes the entire landscape as can be seen from a bird’s eye view. We provide our perspective in saying that Reinforcement learning is a 3D problem and conclude with challenges that remain ahead of us. We have deliberately kept any deep mathematical equations and concepts out of this paper, as the purpose of this paper is to provide an overview and abstractions to a serious onlooker. We hope this paper provides a brief summary and trends in RL for researchers, students and interested scholars.","Indian journal of science and technology","28","3.1","10.17485/IJST/2017/V10I1/109385","https://doi.org/10.17485/IJST/2017/V10I1/109385","","true","{'url': 'http://www.indjst.org/index.php/indjst/article/download/109385/77763', 'status': 'GOLD'}","812e08fb064917d08ca54f1420c5ed78091dd6ac",""
"57","0.1","A Review of Multi-Agent Reinforcement Learning Algorithms","2025","2025-02-19","Jiaxin Liang, Haotian Miao, Kai Li, Jianheng Tan, Xi Wang, Rui Luo, Yueqiu Jiang","In recent years, multi-agent reinforcement learning algorithms have demonstrated immense potential in various fields, such as robotic collaboration and game AI. This paper introduces the modeling concepts of single-agent and multi-agent systems: the fundamental principles of Markov Decision Processes and Markov Games. The reinforcement learning algorithms are divided into three categories: value-based, strategy-based, and actor–critic algorithms, and the algorithms and applications are introduced. Based on differences in reward functions, multi-agent reinforcement learning algorithms are further classified into three categories: fully cooperative, fully competitive, and mixed types. The paper systematically reviews and analyzes their basic principles, applications in multi-agent systems, challenges faced, and corresponding solutions. Specifically, it discusses the challenges faced by multi-agent reinforcement learning algorithms from four aspects: dimensionality, non-stationarity, partial observability, and scalability. Additionally, it surveys existing algorithm-training environments in the field of multi-agent systems and summarizes the applications of multi-agent reinforcement learning algorithms across different domains. Through this discussion, readers can gain a comprehensive understanding of the current research status and future trends in multi-agent reinforcement learning algorithms, providing valuable insights for further exploration and application in this field.","Electronics","3","2.9","10.3390/electronics14040820","https://doi.org/10.3390/electronics14040820","","true","{'url': 'https://doi.org/10.3390/electronics14040820', 'status': 'GOLD'}","6587b930fa1c3e750bf8d931299ce83ad2c8bf82",""
"58","0.1","A New Advantage Actor-Critic Algorithm For Multi-Agent Environments","2020","2020-10-15","Gabor Paczolay, I. Harmati","Reinforcement learning is one of the most researched fields of artificial intelligence right now. Newer and newer algorithms are being developed, especially for deep reinforcement learning, where the selected action is computed with the assist of a neural network. One of the subcategories of reinforcement learning is multi-agent reinforcement learning, where multiple agents are present in the world. In our paper, we modify an already existing algorithm, the Advantage Actor-Critic (A2C) to be suitable for multi-agent scenarios. Afterwards, we test the modified algorithm on our testbed, a cooperative-competitive pursuit-evasion environment.","2020 23rd International Symposium on Measurement and Control in Robotics (ISMCR)","7","1.3","10.1109/ISMCR51255.2020.9263738","https://doi.org/10.1109/ISMCR51255.2020.9263738","","false","","61016f49b7c0f68f8c88f811236933a73eee39f7",""
"59","0.1","Creating artificial societies for policy decision support: a research agenda and call to action","2024","2024-11-21","T. Clemen, Andreas Tolk, Ulfia A. Clemen, Daniel Glake, Gerrit Günther","The enormous complexity of political decisions, especially with regard to crisis situations, requires innovative concepts for decision support. The focus here is always on people’s well-being. Artificial societies based on agent-based simulation models are a fairly new, forward-looking paradigm for this. Digital twins, on the contrary, are one of the most promising enabling technologies for realizing a seamless integration between the virtual and the physical or biological world. In this paper, we propose an architecture that combines these two concepts to develop a research agenda to address research topics that will allow us to provide more effective decision support systems. We reflect on the current state of development in this area and formulate possible future research directions. A particular focus here is on integrating generative artificial intelligence (AI) methods and supporting cross-disciplinary collaboration, as decision support in the political environment is a highly cross-domain task. We conclude this article with a call for action to gain experience with the proposed architecture. We hope that this will encourage greater cross-disciplinary exchange for this important task.","SIMULATION","2","1.6","10.1177/00375497241295765","https://doi.org/10.1177/00375497241295765","","true","{'url': 'https://journals.sagepub.com/doi/pdf/10.1177/00375497241295765', 'status': 'GOLD'}","94e0c5e36ce360a37a8510f058c77715fdbaa0c5",""
"60","0.1","State-of-the-Art Reinforcement Learning Algorithms","2020","2020-01-03","D. Mehta","—This research paper brings together many different aspects of the current research on several fields associated to Reinforcement Learning which has been growing rapidly, providing a wide variety of learning algorithms like Markov Decision Processes (MDPs), Temporal Difference (TD) Learning, Advantage Actor-Critic (A2C), Asynchronous Advantage Actor-Critic (A3C), Deep Q Networks (DQNs), Deep Deterministic Policy Gradient (DDPG) and Evolution Strategies (ES) for different applications. In this paper, the computations and procedures involved in Reinforcement Learning algorithms are briefly discussed. Reinforcement Learning can be used is almost every field for its automation and advancement. Nowadays, Meta-Learning, Automated Machine Learning and Self-Learning Systems have become very popular. Meta-learning which is an application of evolution strategies is an exciting area of research that tackles the problem of learning to learn faster with being generalizable to many tasks. Automated machine learning is the process of automating end-to-end the process of applying machine learning to real-world problems.","International Journal of Engineering Research and","21","3.4","10.17577/IJERTV8IS120332","https://doi.org/10.17577/IJERTV8IS120332","","true","{'url': 'https://doi.org/10.17577/ijertv8is120332', 'status': 'GOLD'}","ecf4fe70d75d52a046699b21ece67a2522ef461c",""
"61","0.1","Multi-Agent Reinforcement Learning with Asymmetric Representation Assisted by Multi-Objective Evolutionary Algorithms","2024","2024-06-30","Ye Tian, Weixin Wang, Shangshang Yang, Panpan Zhang, Xing-yi Zhang","In the face of a series of challenging control tasks, multi-agent reinforcement learning has demonstrated its superiority. However, it suffers from certain drawbacks like deceptive reward functions, unstable training processes, and a lack of exploration for novel policies. To address these issues, the combination of evolutionary algorithms and reinforcement learning has been introduced, as evolutionary algorithms possess good exploration and convergence properties, enabling reinforcement learning to better leverage its performance. To enhance the complementary advantages of evolutionary algorithms and reinforcement learning, we combine them into an asymmetric reinforcement learning framework by utilizing a shared observation encoder, allowing the algorithm's performance to break through certain bottlenecks. In addition to the consideration of reward, we propose the concept of policy novelty, which measures the degree of difference between a policy's behavior and others. Consequently, the training of multiple agents is formulated as a large-scale bi-objective optimization problem, and solved by a multi-objective evolutionary algorithm. The proposed approach is tested on eight experimental tasks within the MA-MuJoCo framework, exhibiting superiority over commonly used approaches.","2024 IEEE Congress on Evolutionary Computation (CEC)","0","0","10.1109/CEC60901.2024.10611963","https://doi.org/10.1109/CEC60901.2024.10611963","","false","","c7ed31463edfb640902e1104a18746be8959a689",""
"62","0.1","Evo-RL: evolutionary-driven reinforcement learning","2020","2020-07-09","Ahmed Hallawa, Thorsten Born, A. Schmeink, Guido Dartmann, A. Peine, Lukas Martin, Giovanni Iacca, A. Eiben, G. Ascheid","In this work, we propose a novel approach for reinforcement learning driven by evolutionary computation. Our algorithm, dubbed as Evolutionary-Driven Reinforcement Learning (Evo-RL), embeds the reinforcement learning algorithm in an evolutionary cycle, where we distinctly differentiate between purely evolvable (instinctive) behaviour versus purely learnable behaviour. Furthermore, we propose that this distinction is decided by the evolutionary process, thus allowing Evo-RL to be adaptive to different environments. In addition, Evo-RL facilitates learning on environments with reward-less states, which makes it more suited for real-world problems with incomplete information. To show that Evo-RL leads to state-of-the-art performance, we present the performance of different state-of-the-art reinforcement learning algorithms when operating within Evo-RL and compare it with the case when these same algorithms are executed independently. Results show that reinforcement learning algorithms embedded within our Evo-RL approach significantly outperform the stand-alone versions of the same RL algorithms on OpenAI Gym control problems with rewardless states constrained by the same computational budget.","Proceedings of the Genetic and Evolutionary Computation Conference Companion","14","2.5","10.1145/3449726.3459475","https://doi.org/10.1145/3449726.3459475","","true","{'url': 'https://iris.unitn.it/bitstream/11572/273714/1/2007.04725.pdf', 'status': 'GOLD'}","94e0107d8bd068a0d52fe1a44c16a320eca519bf",""
"63","0.1","A Note on Reinforcement Learning","2022","2022-11-16","Ying Tan","In the past decade, deep reinforcement learning (DRL) has drawn much attention in theoretical research, meanwhile, it has seen huge success across multiple application areas, such as combinatorial optimization, recommender systems, autonomous driving, intelligent healthcare system and robotics. As one of three basic machine learning paradigms, reinforcement learning concerns with how intelligent agents learn in an interactive environment through trial and error to maximize the total cumulative reward of the agents. Even though many progresses of reinforcement learning have been presented, there are still many challenging research topics due to the complexity of the problems.","Research Reports on Computer Science","0","0","10.37256/rrcs.1220222153","https://doi.org/10.37256/rrcs.1220222153","","true","{'url': 'https://ojs.wiserpub.com/index.php/RRCS/article/download/2153/1131', 'status': 'GOLD'}","4ab7cd65f815deddc400c12e374a0578c0356913",""
"64","0.1","A Policy Gradient Algorithm for Learning to Learn in Multiagent Reinforcement Learning","2020","2020-10-31","Dong-Ki Kim, Miao Liu, M. Riemer, Chuangchuang Sun, Marwa Abdulhai, Golnaz Habibi, Sebastian Lopez-Cot, G. Tesauro, J. How","A fundamental challenge in multiagent reinforcement learning is to learn beneficial behaviors in a shared environment with other agents that are also simultaneously learning. In particular, each agent perceives the environment as effectively non-stationary due to the changing policies of other agents. Moreover, each agent is itself constantly learning, leading to natural nonstationarity in the distribution of experiences encountered. In this paper, we propose a novel meta-multiagent policy gradient theorem that directly accommodates for the non-stationary policy dynamics inherent to these multiagent settings. This is achieved by modeling our gradient updates to directly consider both an agent's own non-stationary policy dynamics and the non-stationary policy dynamics of other agents interacting with it in the environment. We find that our theoretically grounded approach provides a general solution to the multiagent learning problem, which inherently combines key aspects of previous state of the art approaches on this topic. We test our method on several multiagent benchmarks and demonstrate a more efficient ability to adapt to new agents as they learn than previous related approaches across the spectrum of mixed incentive, competitive, and cooperative environments.","ArXiv","56","10.5","","https://arxiv.org/abs/2011.00382","","true","{'url': 'https://arxiv.org/pdf/2011.00382.pdf', 'status': 'GOLD'}","bd4805fe73c8e89362dcf1296f86270ad8f2a8e8",""
"65","0.1","Artificial Intelligence and Auction Design","2022","2022-02-12","Martino Banchio, Andrzej Skrzypacz","Motivated by online advertising auctions, we study auction design in repeated auctions played by simple Artificial Intelligence algorithms (Q-learning). We find that first-price auctions with no additional feedback lead to tacit-collusive outcomes (bids lower than values), while second-price auctions do not. We show that the difference is driven by the incentive in first-price auctions to outbid opponents by just one bid increment. This facilitates re-coordination on low bids after a phase of experimentation. We also show that providing information about the lowest bid to win, as introduced by Google at the time of the switch to first-price auctions, increases competitiveness of auctions.","Proceedings of the 23rd ACM Conference on Economics and Computation","29","7.2","10.1145/3490486.3538244","https://doi.org/10.1145/3490486.3538244","","true","{'url': 'https://arxiv.org/pdf/2202.05947', 'status': 'GOLD'}","80998eefa2e5d5428506e16e5c6a33d520bc805f",""
"66","0.1","A Survey of Deep Reinforcement Learning Based on Multi-Particle Environments","2024","2024-03-13","Chuhao Weng","This paper extensively explores the application of deep reinforcement learning within multi-agent environments, a domain marked by intricate challenges and burgeoning opportunities. Multi-agent environments inherently entail the presence of multiple interacting intelligent agents, thereby amplifying the complexity of decision-making and control. Traditional reinforcement learning methods, when confronted with these intricate settings, manifest limitations that have prompted a compelling shift towards the fusion of deep learning and reinforcement learning. The journey commences by elucidating the multifaceted challenges and intricacies pervasive in multi-agent environments. It systematically delineates the constraints of conventional reinforcement learning techniques, underscoring their inadequacies in effectively addressing the multifarious complexities presented by these environments. As the narrative unfolds, it places a spotlight on the transformative potential of deep learning in surmounting the formidable challenges associated with decision-making in multi-agent settings. A critical examination ensues, encompassing a thorough review of pioneering applications of methodologies such as value functions, policy gradients, and actor-critic approaches within the realm of multi-agent systems. Through an exhaustive exploration of existing literature, this article endeavors to unveil the vanguard developments and persisting challenges within the domain of deep reinforcement learning in multi-agent environments. Furthermore, this paper conducts a comparative analysis of the performance of two prominent algorithms, namely Q-learning and the Deep Q Network (DQN) algorithm. This analysis serves as a compass, elucidating the trajectory of development within the sphere of deep reinforcement learning. Ultimately, this paper acts as a compass, guiding future research and innovation in the dynamic and promising field of deep reinforcement learning within multi-agent environments.","Highlights in Science, Engineering and Technology","0","0","10.54097/jw371477","https://doi.org/10.54097/jw371477","","true","{'url': 'https://drpress.org/ojs/index.php/HSET/article/download/18463/17997', 'status': 'GOLD'}","876f2fc4707fedc5355e589f390d4ea2b26ec2de",""
"67","0.1","Natural Gradient Ascent in Evolutionary Games","2022","2022-10-02","Vladimir Ja'cimovi'c","We study evolutionary games with a continuous trait space in which replicator dynamics are restricted to the manifold of multidimensional Gaussian distributions. We demonstrate that the replicator equations are natural gradient flow for maximization of the mean fitness. Our findings extend previous results on information-geometric aspects of evolutionary games with a finite strategy set. Throughout the paper we exploit the information-geometric approach and the relation between evolutionary dynamics and Natural Evolution Strategies, the concept that has been developed within the framework of black-box optimization. This relation sheds a new light on the replicator dynamics as a compromise between maximization of the mean fitness and preservation of diversity in the population.","ArXiv","2","0.6","10.48550/arXiv.2210.00573","https://doi.org/10.48550/arXiv.2210.00573","","true","{'url': 'http://arxiv.org/pdf/2210.00573', 'status': 'GOLD'}","d35d95a1d2f0bd480b1d85e5014be6d884654465",""
